Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1989:Q3,White,21030570,7637170,5993550,1643620,13393400,2702872,351821,1173779,1006213,167566,167326,43873,123454,1977789,316071,273691,637492,2975262,2623291,194005,2581803,2567793,1826714,620290,4219,116569,14010,18448768,69591129
1989:Q3,Black,997756,449322,338458,110864,548435,93555,5348,9957,9246,710,117,7,110,16812,15165,28860,24196,304031,38126,12267,184464,183787,104554,78234,133,865,677,813293,11845844
1989:Q3,Hispanic,633914,330266,263016,67249,303648,84601,804,5489,5426,63,7,6,1,14467,8577,10601,11585,102429,55980,9108,202927,202543,142169,46589,130,13655,384,430988,7359603
1989:Q3,Other,911946,372291,297675,74617,539655,76125,4669,16245,15350,895,1764,324,1439,46621,13886,9465,11918,96243,252229,10490,181242,180620,137252,39094,44,4230,622,730704,4223525
1989:Q4,White,21371825,7722616,6062466,1660151,13649208,2739672,365469,1187420,1014833,172587,180499,54580,125919,2034442,323137,282714,661725,3041763,2635019,197348,2634446,2619988,1861033,639189,4079,115688,14458,18737378,69605336
1989:Q4,Black,1034587,462015,345594,116421,572573,94003,5132,10276,9439,837,332,41,291,18112,17028,30462,27119,314728,42649,12731,192637,191835,110337,80112,128,1259,801,841951,11811814
1989:Q4,Hispanic,666005,348525,278805,69720,317480,85709,885,5460,5375,85,53,53,0,15081,9624,11124,12417,106051,61553,9524,210618,210188,147692,49383,129,12983,430,455387,7536399
1989:Q4,Other,957279,386936,307452,79484,570343,81397,5751,20736,18745,1990,2221,591,1630,50405,15267,10493,13934,101591,257608,10939,187379,186697,141053,40601,47,4997,682,769899,4308690
1990:Q1,White,21466706,7797748,6105370,1692378,13668958,2739494,390891,1215420,1048313,167107,178626,49859,128767,1917096,325734,291443,659726,3094308,2652313,203906,2682198,2668140,1918309,625252,5061,119517,14059,18784507,69665584
1990:Q1,Black,1053238,464053,346090,117963,589185,92490,4779,10853,9826,1027,502,16,486,18039,18442,32025,26951,324134,47421,13548,198272,197473,117511,78019,159,1784,800,854966,11791501
1990:Q1,Hispanic,680683,354331,280777,73555,326351,84746,915,5463,5365,99,71,71,0,14795,10507,11571,12484,108464,67250,10086,216339,215890,153633,49822,165,12271,448,464344,7669354
1990:Q1,Other,993579,401044,317810,83233,592535,84586,7074,27002,23607,3394,2571,774,1797,48972,16438,11480,15039,105574,262298,11503,191109,190405,145460,39227,65,5654,704,802469,4377331
1990:Q2,White,21707199,7847543,6141215,1706328,13859656,2742552,375291,1252750,1081686,171064,182092,51231,130860,1981625,329981,309625,664795,3153754,2662368,204823,2736368,2722401,1967363,630349,4107,120583,13967,18970831,69769213
1990:Q2,Black,1084335,473916,350386,123529,610419,91178,4852,11405,10221,1183,688,15,673,19454,20023,34931,27647,334383,52115,13745,203962,203118,122537,78227,126,2228,844,880373,11784029
1990:Q2,Hispanic,700084,365249,290269,74979,334836,83315,1108,5422,5299,123,107,107,0,15268,11399,12415,12663,110505,72392,10240,219942,219468,156986,50925,137,11420,474,480142,7761188
1990:Q2,Other,1028998,410573,322899,87674,618425,87631,7704,33538,28759,4778,3054,1034,2021,52706,17636,13080,16392,109641,265288,11755,194913,194176,148526,39211,57,6383,737,834085,4430408
1990:Q3,White,21580504,7915061,6188701,1726360,13665443,2755463,396892,1298471,1129501,168970,186972,53838,133134,1645902,332687,311464,647973,3207099,2674085,208435,2780554,2766725,2007739,641246,1770,115970,13829,18799950,69913561
1990:Q3,Black,1096670,473178,350556,122622,623492,90414,4531,12113,10732,1381,890,20,870,17478,21455,35529,25697,344167,56978,14240,210886,210004,128223,79214,52,2515,882,885784,11788524
1990:Q3,Hispanic,702553,364093,287048,77046,338459,81758,1151,5372,5230,142,154,154,0,13694,12196,12398,12166,111684,77377,10509,223196,222700,159913,52332,59,10395,496,479357,7814625
1990:Q3,Other,1052593,422096,331878,90218,630497,90873,9007,41386,35038,6349,3581,1348,2233,44166,18724,13533,16893,112857,267380,12096,198419,197653,150861,39510,26,7256,765,854175,4468877
1990:Q4,White,22037794,7937750,6193905,1743845,14100044,2792927,402372,1363123,1165425,197698,197726,62700,135027,1848162,335833,320398,676026,3265180,2686386,211912,2825334,2811200,2038384,650938,1971,119907,14134,19212459,70095968
1990:Q4,Black,1122426,472602,348728,123874,649824,90981,4381,12595,11165,1429,1123,58,1066,20136,22938,37140,29232,354581,61995,14721,219577,218593,135333,80160,57,3043,985,902849,11804111
1990:Q4,Hispanic,706622,360638,282315,78323,345984,80736,1254,5274,5072,203,241,241,0,14725,12951,12664,12839,112470,82116,10715,226739,226209,162967,53719,67,9457,530,479883,7832385
1990:Q4,Other,1088646,428553,335475,93079,660092,95066,10000,48705,40859,7846,4328,1853,2476,51748,19777,14427,19099,116003,268548,12391,200883,200072,152571,39573,31,7896,811,887763,4493698
1991:Q1,White,22513379,7984978,6222167,1762811,14528401,2803996,448144,1339569,1133705,205864,196491,60888,135603,2143908,339259,324400,718956,3320542,2679989,213147,2841821,2827881,2069071,633981,3436,121393,13939,19671559,70313774
1991:Q1,Black,1156073,480817,351677,129139,675257,90149,3688,12713,11116,1597,1281,41,1240,23670,24458,38060,34748,364880,66649,14960,224330,223316,141808,77902,101,3505,1014,931744,11829916
1991:Q1,Hispanic,713266,363547,284449,79098,349719,78260,1183,4907,4665,242,277,277,0,16037,13654,12628,13869,112597,85581,10727,226772,226227,164669,53006,118,8433,545,486494,7817192
1991:Q1,Other,1118810,434015,337235,96781,684795,97616,11855,52083,42396,9687,4976,2156,2820,62326,20785,14932,21901,118545,267239,12536,200400,199568,153604,37318,60,8586,832,918410,4505829
1991:Q2,White,22586768,8028522,6254320,1774201,14558246,2763518,426092,1374337,1160299,214038,195321,58355,136965,2126826,344507,332060,730263,3380988,2669461,214873,2894044,2880376,2122229,634418,1027,122702,13668,19692724,70564318
1991:Q2,Black,1178648,484419,353260,131159,694230,86570,3916,13282,11505,1777,1458,21,1437,24525,26167,39508,36365,375840,71343,15256,230282,229250,147572,77684,28,3966,1033,948366,11865062
1991:Q2,Hispanic,708792,360498,281508,78990,348294,73408,1394,4694,4411,283,308,308,0,15823,14347,12713,13955,112419,88512,10722,226197,225641,165369,52858,35,7379,556,482595,7771766
1991:Q2,Other,1135829,439049,339692,99357,696780,97251,12213,59405,47717,11688,5541,2437,3104,63003,21807,15639,23427,121056,264770,12667,201417,200569,154944,36346,19,9260,848,934412,4506228
1991:Q3,White,22884700,8095707,6302750,1792958,14788992,2750892,421025,1380444,1182570,197874,205930,68902,137028,2275666,346430,338502,761576,3442120,2649726,216680,2938351,2924953,2153948,637553,839,132614,13397,19946349,70844939
1991:Q3,Black,1202226,483737,353662,130075,718489,84484,3905,14027,11872,2155,1690,77,1612,26883,27562,40791,40613,387021,75950,15563,229880,228828,146525,77615,23,4666,1052,972347,11908675
1991:Q3,Hispanic,699475,352218,272739,79479,347257,69425,1519,4400,4114,287,442,442,0,16260,14873,12684,14532,111795,90648,10678,218991,218427,159992,51937,29,6469,565,480484,7698829
1991:Q3,Other,1159947,445434,344503,100931,714513,98032,12884,66745,52805,13940,6702,3213,3489,68782,22632,16210,25720,123228,260812,12767,199455,198594,153504,35395,17,9678,861,960492,4495853
1991:Q4,White,23500279,8173618,6370047,1803571,15326662,2763198,422814,1381293,1188190,193103,224528,90011,134517,2684660,350266,345906,800656,3505507,2627911,219923,3013997,3000792,2206028,649869,1627,143269,13205,20486282,71152977
1991:Q4,Black,1238882,490540,358467,132073,748342,83734,3805,14599,12128,2470,1989,254,1735,31569,29159,42219,45989,398571,80677,16030,235316,234233,150033,78768,44,5389,1083,1003566,11959880
1991:Q4,Hispanic,696770,349398,270744,78654,347372,66225,1610,4060,3752,309,701,701,0,17601,15388,12651,15253,110828,92374,10680,215817,215244,157781,51835,56,5573,573,480952,7601104
1991:Q4,Other,1190803,450434,347342,103091,740370,99806,13668,72936,56729,16207,8567,4495,4072,82698,23472,16794,28280,125184,256062,12903,199586,198710,153514,35110,36,10051,876,991217,4475664
1992:Q1,White,23547860,8263692,6451307,1812385,15284168,2645301,443286,1422803,1223552,199251,205739,73387,132352,2628122,354398,350272,799443,3591298,2620236,223272,3048301,3035224,2257309,635305,1907,140703,13077,20499559,71485770
1992:Q1,Black,1267198,503101,366359,136741,764098,75997,3447,15357,12614,2742,1968,98,1870,32231,30799,43225,46104,412465,85993,16511,230967,229843,147558,76478,51,5756,1124,1036232,12017802
1992:Q1,Hispanic,689751,350149,272925,77224,339602,57945,1630,3795,3445,350,607,607,0,17040,15841,12432,14814,110328,94523,10647,205036,204455,150885,49060,65,4444,581,484715,7481312
1992:Q1,Other,1200019,454422,348677,105745,745597,94881,14888,81434,62763,18671,8984,4361,4623,81578,24259,17121,29154,128359,251929,13010,196162,195271,151969,32510,45,10746,891,1003857,4446617
1992:Q2,White,23639983,8316217,6488386,1827831,15323766,2625737,423833,1406158,1208779,197379,210802,80718,130084,2629448,356361,359401,812514,3666998,2605376,227138,3100566,3087579,2300162,637505,2441,147471,12987,20539417,71840658
1992:Q2,Black,1298398,510341,369410,140932,788057,73520,3647,15839,12744,3095,2165,158,2007,33420,32244,44916,48143,425793,91317,17052,230018,228848,146158,76244,64,6381,1171,1068380,12081567
1992:Q2,Hispanic,685763,344502,268272,76231,341261,53415,1772,3393,3013,379,755,755,0,16652,16165,12388,14713,115377,96023,10608,195971,195383,144373,47418,84,3508,588,489792,7342175
1992:Q2,Other,1217209,455228,347142,108086,761981,94677,15028,86350,65109,21241,10445,5270,5175,82129,24900,17718,30545,140329,246747,13112,193297,192391,150002,31165,63,11161,906,1023912,4409673
1992:Q3,White,24000171,8429496,6580984,1848512,15570675,2625275,414456,1423870,1242785,181085,207815,80032,127783,2748576,362735,367296,841583,3743990,2603840,231240,3162442,3149502,2351804,647239,1446,149013,12941,20837728,72214981
1992:Q3,Black,1329212,511462,372932,138530,817750,72058,3701,16812,13244,3569,2296,147,2149,35699,34135,46439,52392,439360,97237,17620,237004,235780,151688,77186,36,6870,1224,1092208,12150298
1992:Q3,Hispanic,677851,333828,257946,75882,344023,49583,1864,3060,2678,382,823,823,0,16634,16543,12249,14977,119841,97901,10546,192550,191955,142380,47020,49,2507,595,485301,7186414
1992:Q3,Other,1247330,460745,352127,108618,786586,95218,15359,94713,70989,23724,11570,5848,5722,86202,25649,18180,32506,151763,242230,13195,192587,191666,149455,30489,40,11682,920,1054744,4365788
1992:Q4,White,24637222,8541131,6669109,1872022,16096091,2650357,398721,1433861,1245011,188850,205271,79421,125850,3105192,367881,384137,867992,3825884,2622026,234769,3224697,3211737,2393000,665840,2079,150818,12960,21412525,72605827
1992:Q4,Black,1344746,515949,378845,137104,828798,74042,4404,16998,13124,3874,2270,191,2079,38650,34891,47476,52797,445790,93586,17894,242557,241324,155378,79306,74,6567,1233,1102189,12222905
1992:Q4,Hispanic,682626,332453,256611,75842,350173,49889,2276,3634,3095,539,687,656,30,17700,18259,12469,19610,124359,90527,10764,191853,191215,141427,47381,71,2335,639,490773,7017105
1992:Q4,Other,1272665,460358,352072,108286,812307,100234,14862,92818,67547,25271,10770,5280,5491,98224,26320,20485,33695,171539,230116,13243,194735,193805,150548,32241,64,10951,930,1077930,4316070
1993:Q1,White,24949821,8567260,6689616,1877644,16382561,2585493,406126,1469287,1246344,222943,218611,94508,124104,3223996,373142,394975,915127,3872526,2685536,237743,3240788,3227766,2412125,652642,3495,159505,13021,21709033,73009281
1993:Q1,Black,1363166,531165,385971,145194,832001,71168,4835,16966,12998,3968,2404,392,2012,39490,35659,47649,55955,448752,91020,18104,240441,239194,155052,77536,164,6442,1247,1122724,12297424
1993:Q1,Hispanic,689536,337296,263800,73496,352240,46981,2618,4244,3476,768,712,654,58,17901,19846,12394,24330,127112,85190,10912,185915,185235,137277,45556,119,2282,681,503621,6838726
1993:Q1,Other,1279184,451604,341539,110066,827580,100839,14989,91065,64058,27007,10750,5507,5243,102531,26945,22301,35572,188241,221103,13245,192362,191422,149733,31528,120,10041,940,1086823,4262216
1993:Q2,White,25269964,8701999,6792159,1909840,16567965,2577272,396282,1459485,1213693,245792,228140,105845,122295,3287896,379394,406384,936915,3921320,2734608,240268,3298827,3285742,2459204,662094,3196,161248,13085,21971138,73421178
1993:Q2,Black,1369426,535480,392194,143286,833946,71342,5449,16728,12623,4106,2505,562,1943,39850,36522,47889,55686,451858,87855,18260,246799,245537,160607,78625,183,6122,1262,1122627,12371675
1993:Q2,Hispanic,687867,334261,260441,73820,353606,46017,2946,4733,3749,984,694,609,85,17883,21334,12316,28000,129516,79160,11005,185403,184684,137034,45432,108,2110,719,502463,6656111
1993:Q2,Other,1288741,451603,342297,109306,837138,103979,14626,86731,58320,28412,10510,5509,5001,104927,27566,24066,36372,204423,210723,13214,193876,192928,150984,32511,118,9315,949,1094865,4206070
1993:Q3,White,25736588,8842588,6899257,1943331,16894000,2580519,392406,1467862,1198112,269749,224056,103612,120444,3448955,386206,421059,963766,3973903,2791476,243791,3371118,3357967,2500133,681463,3724,172647,13152,22365470,73837352
1993:Q3,Black,1376616,537964,397772,140192,838652,72126,5994,16565,12369,4196,2435,564,1872,41035,37433,48569,56066,455213,84697,18520,256663,255386,168093,80981,256,6056,1277,1119953,12443479
1993:Q3,Hispanic,685054,329575,255458,74117,355479,45414,3240,5237,4026,1211,582,471,111,18124,22727,12344,31439,131712,73533,11127,186619,185863,137596,46043,125,2099,755,498435,6474091
1993:Q3,Other,1303144,452052,343814,108239,851092,107535,14425,83599,53950,29649,9776,5011,4765,110066,28178,25963,37295,220262,200773,13220,195841,194883,152196,34181,149,8358,957,1107303,4149478
1993:Q4,White,26254177,8984843,7006594,1978249,17269334,2569723,400769,1526241,1205485,320756,225152,106552,118601,3620708,393205,428640,981580,4023429,2854213,245673,3453679,3440458,2538197,717145,3777,181338,13221,22800498,74253637
1993:Q4,Black,1386768,547466,405995,141471,839302,72127,6434,16063,12279,3785,2424,625,1800,42287,38350,48224,55236,458083,81484,18591,264799,263507,172203,85092,302,5911,1291,1121970,12510656
1993:Q4,Hispanic,685847,329712,255541,74171,356135,44382,3521,5843,4330,1513,521,386,135,18365,24035,12097,34345,133602,68270,11155,186092,185302,136109,47023,126,2044,789,499755,6297499
1993:Q4,Other,1315927,451314,343128,108186,864613,110420,14559,81216,51221,29995,9284,4749,4535,115340,28781,27347,37836,235474,191201,13156,198195,197229,152668,36908,161,7492,966,1117732,4094285
1994:Q1,White,26431488,9078413,7080684,1997729,17353075,2545754,413332,1627266,1288323,338943,228105,111199,116906,3461121,396973,434684,988547,4072758,2935914,248623,3482870,3469574,2564795,715737,5223,183819,13296,22948618,74665869
1994:Q1,Black,1396756,561190,414748,146442,835566,71382,6846,16593,12720,3874,2433,704,1730,40706,38938,47636,52999,460690,78575,18768,269122,267816,176914,84831,485,5587,1306,1127634,12571026
1994:Q1,Hispanic,688529,332667,259792,72875,355862,43027,3799,6541,4803,1738,477,319,158,17669,25213,11809,36736,135407,63951,11233,184111,183288,134896,46320,175,1897,822,504419,6131167
1994:Q1,Other,1320896,446910,337919,108991,873986,112773,14807,84297,53269,31028,8872,4571,4301,110851,29277,28597,37970,250391,183007,13143,197863,196888,152864,36988,240,6796,975,1123034,4042336
1994:Q2,White,26679786,9209497,7179074,2030423,17470289,2504547,406838,1709038,1346500,362538,224915,109850,115065,3384763,401237,436403,1016187,4121336,3014221,250803,3559175,3545803,2607574,744567,6894,186768,13372,23120611,75069882
1994:Q2,Black,1401567,569037,421738,147300,832530,69660,7413,16804,12964,3840,2361,706,1655,39805,39552,46417,53396,462921,75352,18849,275385,274065,180091,87972,734,5267,1321,1126182,12622410
1994:Q2,Hispanic,687953,332298,259468,72829,355656,41302,4042,7191,5209,1982,416,236,180,17241,26377,11400,39465,137262,59675,11286,183095,182240,133386,46855,233,1766,855,504859,5979928
1994:Q2,Other,1329421,446282,337286,108996,883139,114531,14565,85585,53743,31841,8326,4240,4086,108925,29811,29564,38859,265175,174685,13114,200192,199207,153572,39186,340,6109,985,1129229,3995476
1994:Q3,White,27098871,9344327,7274634,2069693,17754544,2506926,415782,1740185,1369081,371104,223701,110512,113189,3450935,414867,443883,1056314,4174623,3072691,254639,3636881,3623435,2649855,778675,7289,187615,13446,23461990,75461509
1994:Q3,Black,1405833,570187,425370,144817,835646,70284,7860,17056,12947,4110,2308,731,1577,40099,41043,45968,55320,465257,71353,19098,282721,281387,183940,91697,868,4882,1334,1123113,12662626
1994:Q3,Hispanic,686285,328495,254977,73517,357790,41014,4309,7726,5525,2201,374,172,202,17259,27724,11230,42402,139473,54844,11435,183184,182296,132642,47793,247,1614,888,503101,5848613
1994:Q3,Other,1345686,447589,339118,108471,898097,118303,14754,85405,52104,33301,7889,4005,3884,111261,30677,30895,40213,280332,165197,13171,203269,202272,154611,41787,382,5492,997,1142417,3955551
1994:Q4,White,27418245,9444221,7345974,2098247,17974024,2503953,435067,1866509,1455181,411328,221986,111077,110910,3413045,418117,442971,1048588,4222357,3143931,257498,3742532,3729015,2691977,828974,9090,198974,13517,23675713,75836586
1994:Q4,Black,1400032,572134,428341,143793,827898,70573,8233,16997,13341,3656,2242,752,1489,39473,41497,44333,51211,466622,67494,19223,290938,289593,186431,97167,1215,4780,1345,1109094,12689496
1994:Q4,Hispanic,686125,326671,253045,73626,359455,40745,4609,8512,6009,2504,341,117,224,17048,28923,10833,44131,141947,50789,11576,184083,183160,131783,49442,312,1622,924,502042,5742055
1994:Q4,Other,1359463,447501,339004,108497,911961,122105,15237,87685,54356,33330,7521,3799,3722,110805,31268,31746,39947,295574,156855,13218,207515,206505,155749,45585,511,4659,1011,1151947,3924406
1995:Q1,White,27939884,9535439,7402928,2132511,18404446,2523642,453749,1836843,1413151,423692,225387,116311,109076,3630115,427210,452863,1105313,4280534,3205639,263149,3768417,3754793,2715431,832012,10038,197312,13624,24171467,76190948
1995:Q1,Black,1408747,575187,430579,144608,833560,72051,8604,16684,12864,3820,2236,826,1410,40976,42472,44141,55072,468536,63155,19634,292805,291444,188622,97031,1481,4310,1361,1115942,12700840
1995:Q1,Hispanic,693018,327355,253018,74337,365663,41316,4927,8950,6188,2763,326,79,247,17614,30325,10848,47547,145288,46637,11886,183352,182389,131261,49322,350,1456,963,509666,5665086
1995:Q1,Other,1380676,447657,338413,109244,933019,127157,15737,83939,49194,34745,7280,3741,3539,117882,32117,33320,42018,311991,148169,13410,208560,207532,156612,46181,601,4137,1028,1172116,3903885
1995:Q2,White,28560922,9652110,7490498,2161612,18908812,2556776,480501,1801362,1390325,411037,225886,118694,107192,3868516,438727,472527,1159335,4377730,3258785,268668,3840319,3826594,2751099,863037,11996,200463,13724,24720604,76520428
1995:Q2,Black,1410902,568769,430382,138387,842133,74200,8896,17113,12506,4608,2192,864,1328,42579,43625,45218,58499,471437,58367,20007,301995,300619,194496,100199,1958,3966,1375,1108908,12694477
1995:Q2,Hispanic,692188,324519,249046,75473,367669,42502,5293,9435,6438,2998,308,38,270,18323,31914,11235,51084,142899,42422,12254,187444,186436,133614,51023,431,1369,1007,504744,5622539
1995:Q2,Other,1387273,452932,344086,108846,934341,133173,16482,83178,45457,37721,7002,3631,3371,125887,33136,35584,44107,302936,139217,13639,213307,212258,159094,48867,772,3525,1049,1173967,3895835
1995:Q3,White,29086449,9600021,7415111,2184909,19486429,2548797,492072,1833085,1394260,438825,226367,121070,105298,4162751,444224,485355,1230253,4470402,3325229,267894,3935137,3921320,2793867,900484,13764,213206,13817,25151312,76820861
1995:Q3,Black,1397858,551119,417006,134113,846739,74047,9310,16696,12312,4385,2143,899,1245,44546,44146,45308,63881,473217,53765,19679,309460,308073,197901,103821,2465,3886,1387,1088398,12668228
1995:Q3,Hispanic,688035,316470,239786,76684,371565,42888,5669,10149,6799,3350,296,0,296,19291,33609,11483,55363,141409,38960,12449,191998,190939,135931,53071,513,1424,1059,496037,5619246
1995:Q3,Other,1388865,450516,341233,109283,938350,138151,16915,82087,43463,38623,6760,3545,3215,135935,34095,37563,46939,294740,131486,13679,219040,217966,162071,52223,953,2719,1073,1169826,3902099
1995:Q4,White,29850110,9698506,7489564,2208942,20151604,2563987,517442,1892275,1386986,505289,243777,140419,103358,4486044,453898,495210,1290986,4568448,3368577,270960,4013948,3999924,2819172,952447,19064,209240,14024,25836162,77089335
1995:Q4,Black,1410929,551408,416840,134569,859521,77478,9200,15574,12411,3164,2317,1055,1262,51939,46175,44593,68024,468685,55567,19968,316359,314921,202276,106056,3207,3382,1438,1094571,12621001
1995:Q4,Hispanic,703432,319154,241974,77180,384278,47800,6325,9757,6563,3194,285,11,274,23238,32709,12304,55037,142792,41605,12427,193628,192604,134863,55295,861,1584,1024,509804,5658280
1995:Q4,Other,1374216,453364,344800,108563,920853,134132,16775,71963,39883,32080,7244,3905,3339,139962,32740,35938,51431,280175,136861,13633,224802,223774,163614,54362,1294,4504,1028,1149414,3923784
1996:Q1,White,30454364,9818650,7580098,2238552,20635713,2612632,568447,1888536,1369655,518881,252130,150846,101284,4673159,459538,505663,1348732,4659864,3395038,271976,4072806,4058564,2865011,951095,13716,228742,14241,26381558,77327956
1996:Q1,Black,1425892,555369,418648,136721,870523,82438,8756,15747,12425,3323,2372,1096,1276,57987,47755,43930,71737,462981,56802,20017,318863,317374,209586,102297,1960,3531,1489,1107029,12556053
1996:Q1,Hispanic,725946,326985,248490,78495,398961,53897,7113,9312,6346,2966,258,5,254,27003,31941,13240,54856,145018,43916,12406,196227,195231,136637,55827,682,2084,997,529719,5735680
1996:Q1,Other,1364303,458527,349872,108654,905777,132056,17203,64942,35942,29000,7538,4051,3487,140823,31359,34483,56156,266040,141620,13556,227706,226720,167072,52987,851,5809,987,1136597,3959041
1996:Q2,White,30940538,9926452,7669295,2257157,21014086,2604789,557408,1966733,1417016,549717,247396,148307,99089,4845754,467997,514618,1385429,4750140,3400777,273043,4156409,4141955,2911578,982736,18806,228836,14454,26784129,77540081
1996:Q2,Black,1425816,551127,417217,133910,874689,84234,9015,15898,12853,3045,2252,966,1286,63681,49534,43060,72766,456800,57391,20057,321658,320122,212480,101997,2506,3139,1537,1104158,12477728
1996:Q2,Hispanic,744895,331780,251935,79845,413115,58807,7831,9128,6340,2788,234,0,234,30932,31371,14226,54333,148078,45719,12456,199328,198354,137220,57713,1082,2340,973,545567,5845726
1996:Q2,Other,1355277,466048,358129,107919,889229,128207,16280,60478,35513,24964,7603,3946,3657,141828,30125,33031,60471,252259,145428,13519,234217,233270,170383,54134,1152,7600,947,1121060,4005281
1996:Q3,White,31291909,10040119,7757668,2282450,21251790,2617873,578085,1980096,1452710,527386,244511,147676,96835,4862880,481951,521973,1433012,4839516,3415962,275930,4238102,4223437,2960938,1013152,20954,228394,14664,27053807,77729071
1996:Q3,Black,1430102,549486,416491,132995,880616,86948,8891,17255,13194,4061,2152,856,1296,67747,51758,41991,75085,450314,58199,20277,323522,321940,215163,101516,2528,2734,1583,1106580,12390371
1996:Q3,Hispanic,770047,340063,258142,81921,429984,64618,8704,8847,6322,2525,214,0,214,34550,31006,15252,54148,151835,48171,12638,203250,202297,138499,59836,1352,2610,953,566797,5982699
1996:Q3,Other,1350051,474424,366572,107852,875627,125532,16042,58805,34484,24321,7723,3880,3843,138990,29100,31538,65490,238531,150294,13582,241209,240301,174238,55343,1246,9473,908,1108842,4059915
1996:Q4,White,32014781,10128744,7829196,2299548,21886037,2613249,607284,2014351,1490591,523760,278904,184326,94579,5081884,496957,498393,1601741,4914493,3500697,278083,4319507,4304633,3000969,1051861,16593,235210,14875,27695273,77898283
1996:Q4,Black,1452701,553988,417919,136069,898713,88631,8645,18125,13541,4584,2511,1205,1306,73450,54024,37121,92565,442371,60857,20413,326331,324703,218472,102004,1695,2532,1628,1126370,12298326
1996:Q4,Hispanic,807196,354201,270652,83550,452995,70262,9686,8623,6323,2300,193,0,193,39094,30727,15295,56778,155777,53731,12830,208330,207396,140475,62762,1151,3007,934,598866,6140879
1996:Q4,Other,1355062,480773,371947,108826,874289,122348,15949,56104,33554,22551,8447,4406,4041,142020,28120,28232,75224,223817,160394,13635,248489,247619,178215,57251,920,11233,869,1106573,4120354
1997:Q1,White,32264170,10219911,7895786,2324125,22044259,2617587,647217,1887258,1444147,443112,268455,176091,92364,5117418,508404,509179,1612100,5002901,3592845,280895,4353908,4338918,3037103,1038372,23135,240307,14990,27910262,78051076
1997:Q1,Black,1455787,554606,417141,137465,901181,90663,8227,20041,13331,6711,2287,970,1318,77269,55938,36583,90120,435790,63648,20615,322907,321248,219771,96972,2218,2287,1659,1132880,12205939
1997:Q1,Hispanic,841333,366571,280583,85988,474762,76444,10784,8035,6106,1928,172,0,172,43156,30406,16572,55686,160498,59931,13079,211093,210179,141690,63277,1807,3405,914,630240,6314546
1997:Q1,Other,1354182,488415,378894,109522,865767,119650,16012,53449,28152,25297,8446,4202,4244,140206,27008,26968,79510,209450,171345,13723,252670,251843,181909,55554,1286,13095,827,1101512,4184009
1997:Q2,White,33545967,10334030,7997959,2336072,23211937,2627989,638647,1902001,1437556,464444,284009,193677,90332,5896405,524844,543154,1780097,5106718,3624307,283766,4430792,4415685,3079803,1060233,26214,249436,15107,29115175,78190808
1997:Q2,Black,1483946,550875,416834,134042,933071,92918,8485,20000,13383,6617,2399,1064,1335,88075,58282,38849,107564,430875,64796,20828,324109,322419,222190,95799,2274,2156,1690,1159836,12117553
1997:Q2,Hispanic,880113,376577,288604,87973,503536,83050,11791,7741,5993,1748,148,0,148,50570,30176,18774,58150,165939,63851,13346,216442,215549,143780,65635,2249,3886,892,663671,6497979
1997:Q2,Other,1376572,499117,390163,108954,877456,117244,15120,46927,24801,22126,8768,4328,4441,159040,26031,27045,89862,195441,178163,13813,259638,258855,186152,56372,1430,14901,783,1116934,4248292
1997:Q3,White,34538155,10451897,8093006,2358891,24086258,2646203,665926,1928879,1438241,490638,285167,196763,88404,6354207,540862,568366,1917975,5206947,3683355,288368,4529964,4514737,3149320,1084910,15389,265118,15227,30008190,78320840
1997:Q3,Black,1505651,548088,416245,131843,957563,95508,8244,19933,13490,6443,2316,959,1356,95798,60595,40053,121277,425936,66680,21224,327657,325934,227576,95123,1030,2205,1723,1177994,12037514
1997:Q3,Hispanic,919432,387069,296351,90719,532363,90086,12994,7461,5891,1570,122,0,122,57003,29901,20757,59778,171427,69134,13701,223216,222347,148119,68377,1360,4491,869,696216,6685460
1997:Q3,Other,1390391,509641,401034,108607,880749,115138,14843,40387,21750,18638,8864,4232,4633,169083,24989,26555,99348,180550,187024,13969,267447,266710,191991,57395,755,16569,737,1122943,4310614
1997:Q4,White,35110732,10570345,8191537,2378808,24540387,2679122,695409,1948435,1473472,474963,300626,214544,86082,6490410,548838,567934,1922271,5292386,3806633,288322,4612170,4596819,3186019,1119211,25049,266541,15351,30498561,78444528
1997:Q4,Black,1518814,558147,421561,136586,960667,98789,7965,20921,13840,7080,2415,1044,1371,100510,62249,38252,118101,420040,70250,21175,325979,324222,225686,95045,1617,1874,1757,1192835,11970167
1997:Q4,Hispanic,965953,407504,314707,92797,558449,97713,14267,7175,5868,1307,95,0,95,62278,29377,21808,58021,176461,77435,13821,226636,225793,147531,70900,2463,4899,843,739317,6871268
1997:Q4,Other,1392914,517255,407419,109836,875660,113578,14531,37917,20340,17577,9092,4234,4858,170103,23594,24492,103957,163943,200541,13911,274609,273919,195002,59009,1256,18652,690,1118306,4368387
